name,location,ratings,review,Number of   ,Room    Score,Room Type,Bed Type,price
Zoku Paris,"17th arr., Paris",9.2,Wonderful,34,9.5,Loft,1 king bed,"   337,341"
Paris - Quartier Latin - 30 m2,"5th arr., Paris",,,,,Double Room,"2 beds (1 full, 1 queen)","   455,678"
Grand Hotel Francais,"11th arr., Paris",8.5,Very Good,496,8.8,Superior Room,1 full bed,"   586,916"
Luxury apartment in Paris in a chic area,"15th arr., Paris",,,,,Deluxe Apartment,"6 beds (3 fulls, 2 sofa beds, 1 queen)","   792,246"
Paris Roquette,"11th arr., Paris",,,,,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   346,197"
Sublim Loft in Paris/Père Lachaise,Paris,,,,,Three-Bedroom Apartment,"4 beds (2 fulls, 1 sofa bed, 1 queen)","   950,072"
Appartement dans le 11e arrondissement,Paris,,,,,One-Bedroom Apartment,1 full bed,"   310,689"
Appart'City Classic Paris La Villette,"19th arr., Paris",7.1,Good,"1,189",,Double Studio,1 full bed,"   305,526"
Hotel Riviera,"9th arr., Paris",5.2,Review score,15,,Double Room,1 full bed,"   410,319"
Emerald Oasis close to Fashionable Le Marais,"3rd arr., Paris",3,Review score,1 review,,Studio,1 full bed,"   403,809"
Hôtel Mistral,"14th arr., Paris",8.7,Excellent,461,9,   Double Room,1 full bed,"   572,295"
Hôtel Lebron,"9th arr., Paris",5.5,Review score,84,,Double Room,1 full bed,"   337,668"
Hotel Richmond Gare du Nord,"10th arr., Paris",7,Good,931,,Triple Room,"2 beds (1 twin, 1 full)","   638,775"
Hôtel Renoir Montparnasse,"14th arr., Paris",6.2,Review score,"1,029",,Double or Twin Room,   1 double or 2 twins,"   410,075"
Hotel Royal Phare,"7th arr., Paris",8.3,Very Good,"1,409",8.7,Classic Double Room,1 queen bed,"   689,963"
"Paris proche champs Elysée, superbe appartement.",Paris,,,,,Two-Bedroom Apartment,"3 beds (1 twin, 1 king, 1 queen)","   1,206,206"
Aparthotel Adagio Porte de Versailles,Paris,7.6,Good,"2,371",,Studio with Balcony,   1 double or 2 twins,"   524,372"
Hôtel Du Leman,"9th arr., Paris",7.4,Good,"1,093",,Double Room,1 full bed,"   409,379"
Bright apartment for 2 people - Paris 15,"15th arr., Paris",,,,,Apartment,1 full bed,"   312,124"
La Belle Ville,"19th arr., Paris",8.8,Excellent,"1,858",9.3,Superior Double Room,1 full bed,"   563,128"
Superbe appartement au cœur de Paris - Marais,"1st arr., Paris",,,,,Two-Bedroom Apartment,"3 beds (1 twin, 1 full, 1 sofa bed)","   1,206,786"
Ibis Paris Tour Eiffel Cambronne 15ème,"15th arr., Paris",7.5,Good,"7,366",,Standard Room with 2 Single Beds,2 twin beds,"   483,770"
Austin's Arts Et Metiers Hotel,"3rd arr., Paris",8.1,Very Good,"1,378",8.6,Double Room,1 full bed,"   676,847"
Superbe Appartement - Hyper Centre - Romantique,"2nd arr., Paris",7,Good,1 review,,One-Bedroom Apartment,1 full bed,"   665,821"
Hotel de France 18,"18th arr., Paris",5.9,Review score,"1,513",,Double Room with Shared Bathroom,1 full bed,"   214,575"
Luxurious Apartment next to Arc de Triomphe,"17th arr., Paris",10,Exceptional,1 review,10,One-Bedroom Apartment,1 full bed,"   974,712"
Courcelles Médéric,"17th arr., Paris",7.8,Good,552,8.3,Superior Double Room,1 full bed,"   673,248"
Hôtel du Parc Montparnasse,"14th arr., Paris",8,Very Good,734,8.5,Standard Twin Room,2 twin beds,"   508,127"
New Hôtel Gare Du Nord,"10th arr., Paris",7.1,Good,966,,Double Room,1 full bed,"   484,383"
Hôtel George Washington,"8th arr., Paris",7.1,Good,666,,Classique Double Room,1 full bed,"   938,543"
Residence Élysées,"8th arr., Paris",5.6,Review score,209,,One-Bedroom Apartment,"3 beds (2 sofa beds, 1 queen)","   695,940"
Appartement Glaciere,"13th arr., Paris",,,,,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   523,908"
Hôtel De Castiglione,"8th arr., Paris",7.5,Good,"3,526",8,Superior Double Room,Multiple bed types,"   676,497"
My Maison In Paris Invalides,"7th arr., Paris",9.2,Wonderful,358,9.4,Deluxe Studio,1 queen bed,"   886,872"
Nice and calm studio nearby Alesia at the heart of Paris - Welkeys,"14th arr., Paris",5.7,Review score,9,,Studio,1 king bed,"   264,689"
Mama Shelter Paris East,"20th arr., Paris",8,Very Good,"1,202",8.5,Large Mama Double Room,1 full bed,"   458,231"
Hotel Opéra Marigny,"8th arr., Paris",8.1,Very Good,"1,147",8.6,Classic Double Room,   1 double or 2 twins,"   704,299"
Elysées Ceramic,"8th arr., Paris",8.3,Very Good,"3,963",8.6,Double Room,1 queen bed,"   619,058"
Appartement vue Tour Effiel 6P,"16th arr., Paris",,,,,Two-Bedroom Apartment,"3 beds (1 full, 1 sofa bed, 1 queen)","   1,726,053"
Hôtel de l'Exposition - République,"10th arr., Paris",6.6,Review score,827,,Double Room,1 full bed,"   481,438"
Hôtel du Temps,"9th arr., Paris",8.4,Very Good,291,8.8,   Double Room,1 queen bed,"   697,383"
Victory Hotel Galou,"10th arr., Paris",6,Review score,674,,Standard Triple Room,"2 beds (1 twin, 1 full)","   564,753"
Renaissance Paris Vendome Hotel,"1st arr., Paris",7.6,Good,190,8.1,Studio Queen Room,1 queen bed,"   1,553,865"
Hotel Archetype Etoile,"17th arr., Paris",8.6,Excellent,740,9,Double Room,Multiple bed types,"   605,714"
Maison de la joie,"14th arr., Paris",,,,,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   994,206"
Hotel Novex Paris,"13th arr., Paris",4.6,Review score,903,,Double Room,1 full bed,"   277,080"
Suites & Hôtel Helzear Etoile,"8th arr., Paris",8.3,Very Good,"1,761",8.7,Junior Suite,1 queen bed,"   784,295"
Maison Delano Paris,"8th arr., Paris",,,,,Deluxe Double Room,1 full bed,"   1,990,037"
  able townhouse in the heart of Paris,"15th arr., Paris",5.9,Review score,26,,Studio,1 sofa bed,"   267,527"
Hôtel Apollo Opéra,"9th arr., Paris",6.9,Review score,683,,Double Room,1 full bed,"   397,562"
Castille Paris – Starhotels Collezione,"1st arr., Paris",8.3,Very Good,522,8.7,Superior Room,1 full bed,"   1,375,562"
Paradise Crib,"15th arr., Paris",,,,,One-Bedroom Apartment,"2 beds (1 bunk bed, 1 sofa bed)","   353,333"
Unic Renoir Saint Germain,"14th arr., Paris",6.5,Review score,"1,225",,Double Room or Twin Room,1 full bed,"   410,075"
Hôtel du Maine,"14th arr., Paris",7.4,Good,"1,649",,Superior Room,   1 double or 2 twins,"   556,630"
BEAUGRENELLE TOUR EIFFEL PARIS,"15th arr., Paris",5,Review score,5,,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   509,287"
Hôtel Ambre,"13th arr., Paris",7.6,Good,"1,711",,Double Room,1 full bed,"   450,108"
Studio meublé Place de la Nation,"11th arr., Paris",4.4,Review score,5,,Family Studio,"2 beds (1 bunk bed, 1 sofa bed)","   280,230"
GuestReady -Beautiful 2-Room in the Heart of Paris,"12th arr., Paris",,,,,Two-Bedroom Apartment,"2 beds (1 twin, 1 full)","   654,568"
Aparthotel Adagio Paris XV,"15th arr., Paris",6.8,Review score,"1,642",,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   486,196"
Hôtel de France Quartier Latin,"5th arr., Paris",7.9,Good,"1,409",,Double Room,1 full bed,"   418,047"
Sweet and cosy appartement,"15th arr., Paris",,,,,One-Bedroom Apartment,1 full bed,"   462,988"
HOTEL AU COEUR DES ARTS ET METIERS,"3rd arr., Paris",8,Very Good,"1,238",8.6,Double Room with Courtyard View,1 full bed,"   592,718"
Apartments WS Champs Elysées - Ponthieu,"8th arr., Paris",7,Good,374,,Studio Apartment,1 full bed,"   585,872"
Hôtel Barrière Fouquet's Paris,"8th arr., Paris",9,Wonderful,269,9.5,Superior Room,Multiple bed types,"   2,584,936"
Apartments WS Marais - Musée Pompidou,"3rd arr., Paris",7.2,Good,177,8.1,Standard Studio,1 full bed,"   613,964"
Villa Panthéon,"5th arr., Paris",7.7,Good,827,8.2,Classic Room,   1 double or 2 twins,"   855,759"
Studio Île Saint Louis 75004 Paris,"4th arr., Paris",,,,,One-Bedroom Apartment,1 full bed,"   646,965"
Hotel Saint Dominique,"7th arr., Paris",8.3,Very Good,521,8.8,Superior Double Room,1 queen bed,"   906,946"
"Prince de Galles, a Luxury Collection hotel, Paris","8th arr., Paris",8.6,Excellent,86,9,"Art Deco Queen, Guest room, 1 Queen",1 queen bed,"   2,744,278"
Joli 2 pièces loft place Vendôme/ Champs Elysées,"1st arr., Paris",,,,,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   1,560,235"
Montmartre Residence,"18th arr., Paris",9.1,Wonderful,169,9.4,Deluxe One-Bedroom Apartment (4 people),"2 beds (1 sofa bed, 1 queen)","   1,240,367"
Pratic Hotel,"4th arr., Paris",7.4,Good,"1,388",8,Standard Double Room,1 full bed,"   490,489"
Amazing apartment-2P-Sacré Coeur-Poissonniers-2,"18th arr., Paris",8.3,Very Good,3,,Studio,1 full bed,"   289,701"
1K Paris,"3rd arr., Paris",7.6,Good,858,8.1,Deluxe L Double Room,Multiple bed types,"   813,056"
Drawing Hotel,"1st arr., Paris",8.7,Excellent,651,9.3,Superior Double Room,   1 double or 2 twins,"   1,143,314"
High Standing Apartment with Sauna,"16th arr., Paris",,,,,Superior Apartment with Sauna,"5 beds (4 fulls, 1 sofa bed)","   629,664"
Hôtel de la Bourdonnais,"7th arr., Paris",8.6,Excellent,"1,146",9,Deluxe Triple Room,"2 beds (1 sofa bed, 1 queen)","   1,314,030"
Villa Marquis Member of Meliá Collection,"8th arr., Paris",8.6,Excellent,226,8.9,Deluxe Room,1 queen bed,"   1,480,054"
Hôtel Elysia,"8th arr., Paris",9,Wonderful,386,9.4,Prestige Suite,"2 beds (1 king, 1 sofa bed)","   3,642,429"
Hôtel Chateaubriand,"8th arr., Paris",7.8,Good,273,8.4,Classic Double Room,1 full bed,"   987,047"
Magnifique studio deux pas de Trocadéro Tour Eiffel 4-P,"16th arr., Paris",,,,,One-Bedroom Apartment,"2 beds (1 twin, 1 sofa bed)","   1,105,950"
RODIER COZY FLAT,"9th arr., Paris",7.3,Good,42,,Studio Apartment,"2 beds (1 full, 1 sofa bed)","   367,838"
Cosy courcelles,"17th arr., Paris",7,Good,1 review,,One-Bedroom Apartment,1 full bed,"   442,102"
"O'Lord, 4 Etoiles, Residence de Luxe Champs-Elysees","8th arr., Paris",9,Wonderful,211,9.2,One-Bedroom Apartment Comte de Clare,1 queen bed,"   1,225,673"
Le M-Otel - Spacieux & Charmant - Montmartre,"18th arr., Paris",Exceptional 10,,,,Villa,6 full beds,"   2,274,154"
Hôtel Bleu de Grenelle,"15th arr., Paris",8.9,Excellent,"2,236",9.3,Large Superior Double Room,   1 double or 2 twins,"   822,622"
Suites & Hôtel Helzear Montparnasse,"14th arr., Paris",8.3,Very Good,703,8.5,One-Bedroom Suite,"2 beds (1 full, 1 sofa bed)","   950,228"
Cocosmann,"12th arr., Paris",,,,,One-Bedroom Apartment,,"   1,040,505"
Apartments WS Champs-Elysées - Colomb,"8th arr., Paris",8.3,Very Good,425,8.7,Standard Studio,1 full bed,"   726,160"
Normandy Le Chantier,"1st arr., Paris",8.2,Very Good,897,8.8,Superior King Room - Afterworks,1 king bed,"   892,674"
GuestReady - Calming escape in the 11th arr,"11th arr., Paris",8,Very Good,1 review,,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   726,568"
"Modern, Stylish Bright Apartment next to the Famous Paris Catacombs - 14th Arrondisement","14th arr., Paris",6.7,Review score,25,,Apartment,1 full bed,"   449,760"
Mama Shelter Paris West,"15th arr., Paris",8.5,Very Good,"1,408",9.1,XL Mama Room,1 queen bed,"   551,306"
Hôtel Aladin,"13th arr., Paris",6.3,Review score,"1,168",,Standard Twin Room,2 twin beds,"   271,434"
Cute and Bright Studio in a Courtyard-Montmartre(5),"18th arr., Paris",8.9,Excellent,38,8.8,Superior Studio,1 full bed,"   642,614"
Hôtel Opéra Dieppe,"9th arr., Paris",6.6,Review score,216,,Twin Room,2 twin beds,"   424,812"
Elegant Appartement near the Arc,"16th arr., Paris",,,,,One-Bedroom Apartment,2 full beds,"   782,740"
Hôtel du Romancier,"8th arr., Paris",8,Very Good,305,8.5,Double Room,1 king bed,"   978,191"
Hotel Bowmann,"8th arr., Paris",8.8,Excellent,229,9.5,Haussmann Junior Suite,1 king bed,"   2,052,873"
Grand Appart Spacieux Rénové Paris Métro Wifi,"11th arr., Paris",,,,,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   548,276"
Pied A Terre - Tuileries,"1st arr., Paris",9.4,Wonderful,7,10,Two-Bedroom Apartment,"4 beds (2 sofa beds, 2 queens)","   2,558,619"
Quartier Libre - Saint Georges,"9th arr., Paris",8.9,Excellent,526,9.2,Superior Apartment,"2 beds (1 sofa bed, 1 queen)","   1,266,067"
Aparts CADET,"9th arr., Paris",7.4,Good,7,,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   916,693"
Paris j'Adore Hotel & Spa,"17th arr., Paris",9.1,Wonderful,676,9.5,Deluxe - Precious with Jacuzzi,1 queen bed,"   1,181,812"
HOTEL AU COEUR DE REPUBLIQUE,"11th arr., Paris",8.1,Very Good,664,8.7,Superior Double Room with Street View,1 full bed,"   795,783"
Hôtel La Sanguine,"8th arr., Paris",7.7,Good,"1,922",,Superior Double Room,1 full bed,"   694,890"
Quinzerie hôtel,"15th arr., Paris",9.2,Wonderful,360,9.6,Junior Suite with Garden View,"2 beds (1 king, 1 sofa bed)","   2,029,258"
"Hôtel de Berri Champs-Élysées, a Luxury Collection Hotel","8th arr., Paris",8.5,Very Good,65,8.9,"Collection Suite, 1 King or 1 Twin/Single Beds",1 king bed,"   2,712,948"
"The Hoxton, Paris","2nd arr., Paris",8.7,Excellent,866,9.1,Cozy,1 queen bed,"   1,013,735"
Loft Marais Sébastopol CityCosy,"3rd arr., Paris",6.7,Review score,17,,Loft,"4 beds (3 fulls, 1 sofa bed)","   1,036,117"
Luxe Apartment 165m2 8pers Victor Hugo trocadero foch Champs Elysées,"16th arr., Paris",8.6,Excellent,7,8.6,Deluxe Apartment,"7 beds (4 twins, 1 king, 2 sofa beds)","   4,386,204"
Le Narcisse Blanc,"7th arr., Paris",9.2,Wonderful,429,9.7,Superior Double Room,1 full bed,"   1,982,495"
Hotel Eden,"15th arr., Paris",8.5,Very Good,"1,261",8.9,Superior double room with Spa access and massages (2 adults),1 full bed,"   804,056"
La Maison Favart,"2nd arr., Paris",9,Wonderful,754,9.4,Family Suite (4 People),1 queen bed,"   2,401,129"
26 Faubourg - Ex-Hotel de Reims,"12th arr., Paris",7.9,Good,"1,034",8.5,Double Room,1 full bed,"   432,499"
Maison Colbert Member of Meliá Collection,"5th arr., Paris",8.7,Excellent,181,9.2,Singular Room,Multiple bed types,"   1,689,385"
Meliá Paris Vendôme,"1st arr., Paris",8,Very Good,365,8.5,Premium Double Room,1 king bed,"   1,146,911"
Villa Lutèce Port Royal,"13th arr., Paris",7.1,Good,746,,Junior Suite,1 queen bed,"   898,249"
Hôtel Montana La Fayette - Paris Gare du Nord,"10th arr., Paris",3.4,Review score,503,,Double Room,1 full bed,"   355,074"
Bright and Homely 1 Bedroom rooftop Apartment in the Marais in Paris,"4th arr., Paris",,,,,Apartment,1 full bed,"   957,959"
Grand Studio Confort#St Germain-Montparnasse#4P,"6th arr., Paris",,,,,Studio,"2 beds (1 sofa bed, 1 queen)","   499,610"
Pick A Flat's Apartment- Rue de Navarin,"9th arr., Paris",,,,,One-Bedroom Apartment,"2 beds (1 sofa bed, 1 queen)","   486,638"
"Cœur 16eme, standing et calme","16th arr., Paris",8.6,Excellent,12,9.4,One-Bedroom Apartment,"2 beds (1 sofa bed, 1 queen)","   725,348"
Brand new Parisian nest near the Arc de Triomphe,"8th arr., Paris",7,Good,1 review,,Apartment,"4 beds (2 twins, 1 full, 1 sofa bed)","   701,793"
Residence Chatillon,"14th arr., Paris",5.4,Review score,530,,Double Room,1 full bed,"   391,509"
BONJOUR,"15th arr., Paris",3.2,Review score,4,,One-Bedroom Apartment,1 full bed,"   274,211"
Amazing apartment-2P-Sacré Coeur-Poissonniers-4,"18th arr., Paris",6,Review score,4,,Studio,1 full bed,"   296,985"
CMG Championnet - Saint Ouen - Guy Môquet,"18th arr., Paris",8,Very Good,9,8.6,Studio,"2 beds (1 full, 1 sofa bed)","   407,360"
Hôtel des Beaux Arts,"13th arr., Paris",6.7,Review score,293,,Double Room without Window,1 full bed,"   369,277"
Cosy apartment Montparnasse/Parc des Expositions (Jean Moulin),"14th arr., Paris",7,Good,8,,Apartment,"2 beds (1 full, 1 sofa bed)","   415,394"
Paris superbe appartement Matignon,"8th arr., Paris",9.4,Wonderful,5,10,One-Bedroom Apartment,2 full beds,"   915,498"
Duplex de luxe,"8th arr., Paris",,,,,Two-Bedroom Apartment,"4 beds (2 sofa beds, 2 queens)","   414,253"
"Luxueux Flat, vue Tour Effiel","16th arr., Paris",10,Exceptional,1 review,10,Two-Bedroom Apartment,"4 beds (1 twin, 2 fulls, 1 queen)","   1,937,936"
Champs Elysées deux pas de l Etoile Tour Eiffel,"8th arr., Paris",,,,,Two-Bedroom Apartment,"3 beds (2 fulls, 1 sofa bed)","   2,274,560"
Le patio sur deux étages,"19th arr., Paris",5.8,Review score,9,,One-Bedroom Apartment,1 full bed,"   460,551"
CMG Résidence Saint Lazare,"8th arr., Paris",6.1,Review score,21,,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   576,156"
Parisian Cocoon 1bdr Flat - Prime Loc le Marais,"3rd arr., Paris",7.8,Good,13,8.3,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   968,864"
16ième Très beau appartement Parc des princes / Roland garros,Paris,,,,,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   736,346"
Modern's Hotel,"12th arr., Paris",3.2,Review score,"1,101",,Standard Double Room,1 full bed,"   302,753"
Appartement 2 pièces Palais des Congrès proche Arc de Triomphe,"17th arr., Paris",,,,,One-Bedroom Apartment,"3 beds (1 full, 2 sofa beds)","   771,972"
St Michel - Deluxe Apartment - Harpe,"5th arr., Paris",6.7,Review score,101,,Apartment with Terrace,"3 beds (1 twin, 1 full, 1 sofa bed)","   1,225,695"
Appartement paris Trocadero - Passy,"16th arr., Paris",,,,,One-Bedroom Apartment,1 full bed,"   255,166"
indépendant flat: canal st martin&trains stations!,"19th arr., Paris",7.8,Good,5,,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   497,208"
Blue Nights Sébastopol 110,"3rd arr., Paris",6.7,Review score,34,,Superior Studio,"2 beds (1 king, 1 sofa bed)","   419,938"
DUPLEX - 2 Bedrooms - PERE LACHAISE - Paris 20e !,"20th arr., Paris",,,,,Two-Bedroom Apartment,"2 beds (1 full, 1 queen)","   494,666"
Flat magnifique 4 P arc triomphe,"16th arr., Paris",,,,,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   1,259,989"
Cosy Bedroom - Tour Eiffel Champs de Mars 17B,"15th arr., Paris",1,Review score,3,,Double Room,1 full bed,"   312,504"
8.Studio 2Pers#Sèvres-Lecourbe#Necker,"15th arr., Paris",8.7,Excellent,4,10,Studio,1 queen bed,"   423,582"
La Résidence du Sénateur,"6th arr., Paris",8.8,Excellent,107,9.3,Apartment with Garden View,"5 beds (2 twins, 1 king, 1 sofa bed, 1 queen)","   4,764,775"
Joli Appart 4pers#Buttes Chaumont#Chapeau Rouge,"19th arr., Paris",5.9,Review score,7,,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   442,067"
Exceptional duplex apartment bathed in sunshine,"8th arr., Paris",,,,,Duplex Apartment,"9 beds (4 kings, 3 sofa beds, 2 queens)","   2,230,141"
Two-Bedroom Apartment Champs-Elysées,"8th arr., Paris",9.5,Exceptional,2,10,Two-Bedroom Apartment,"4 beds (2 twins, 1 king, 1 queen)","   1,474,252"
19 Atelier Montorgueil,"2nd arr., Paris",5,Review score,7,,Apartment - Ground Floor,"4 beds (2 fulls, 2 sofa beds)","   702,166"
Magnifique flat avec balcon Champs-Elysées. AC,"8th arr., Paris",8,Very Good,1 review,,Two-Bedroom Apartment,"4 beds (2 fulls, 2 sofa beds)","   2,251,759"
CMG Résidence Montmartre - Cottages,"18th arr., Paris",6.9,Review score,210,,Apartment,"2 beds (1 sofa bed, 1 queen)","   457,865"
Duplex luxe,"11th arr., Paris",,,,,Three-Bedroom Apartment,"3 beds (1 sofa bed, 2 queens)","   331,402"
Veeve - Village Vision,"13th arr., Paris",,,,,Apartment,3 full beds,"   1,290,373"
Luxe Marais Bretagne CityCosy,"3rd arr., Paris",8,Very Good,4,,Apartment,"2 beds (1 full, 1 sofa bed)","   1,040,505"
CMG Faubourg Saint-Martin - Chaudron,"10th arr., Paris",4.5,Review score,14,,Studio,"2 beds (1 full, 1 sofa bed)","   311,398"
3.Appartement 6Pers#Sèvres-Lecourbe#Necker,"15th arr., Paris",10,Exceptional,3,10,One-Bedroom Apartment,"3 beds (2 fulls, 1 sofa bed)","   861,994"
Nice Private Room in Center Paris,"13th arr., Paris",,,,,Double Room with Shared Bathroom,1 queen bed,"   631,126"
Nid douillet et chaleureux pour se détendre,"16th arr., Paris",5.3,Review score,18,,Studio,"2 beds (1 twin, 1 full)","   292,414"
Artirama,"1st arr., Paris",,,,,Two-Bedroom Apartment,,"   1,664,808"
Eiffel Tower appartement,"7th arr., Paris",,,,,Two-Bedroom Apartment,"3 beds (2 fulls, 1 sofa bed)","   1,662,413"
Maison rudigier,"7th arr., Paris",,,,,One-Bedroom Apartment,1 full bed,"   1,291,493"
Maison perchelot,"9th arr., Paris",,,,,One-Bedroom Apartment,1 full bed,"   1,072,427"
Michka’s home,"9th arr., Paris",,,,,One-Bedroom Apartment,1 full bed,"   766,367"
Charming apartment for 2 people - Paris 18,"18th arr., Paris",,,,,Apartment,1 full bed,"   268,061"
Nice apartment for 4 people - Paris 10,"10th arr., Paris",,,,,Apartment,"2 beds (1 full, 1 sofa bed)","   412,010"
Luxurious 2 Bedroom with Huge Private Terrace,"17th arr., Paris",,,,,Two-Bedroom Apartment,"3 beds (2 fulls, 1 sofa bed)","   748,929"
Superb penthouse apartment,"8th arr., Paris",,,,,Three-Bedroom Apartment,"5 beds (3 kings, 2 sofa beds)","   1,139,029"
Studio proche Invalides et Unesco,"7th arr., Paris",,,,,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   554,855"
Emily 's in Paris,"5th arr., Paris",,,,,Two-Bedroom Apartment,"2 beds (1 full, 1 queen)","   1,668,390"
Nice apartment for 4 people - Paris 17,"17th arr., Paris",,,,,Apartment,"2 beds (1 full, 1 sofa bed)","   458,623"
Bright studio for 2 people - Paris 8,"8th arr., Paris",,,,,Apartment,1 full bed,"   340,602"
Luxurious 2 Bedroom with Huge Private Terrace,"17th arr., Paris",,,,,Two-Bedroom Apartment,"3 beds (2 fulls, 1 sofa bed)","   658,555"
Quai de la Loire Test,"19th arr., Paris",,,,,Two-Bedroom Apartment,"3 beds (1 full, 1 sofa bed, 1 queen)","   15,351,714"
Appartement quartier Montorgueil !,"2nd arr., Paris",,,,,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   1,713,056"
GuestReady - A touch of emerald with Eiffel view,"16th arr., Paris",,,,,Three-Bedroom Apartment,"3 beds (1 full, 1 king, 1 queen)","   2,253,499"
Stunning architect studio near the Marais,"11th arr., Paris",,,,,One-Bedroom Apartment,1 queen bed,"   351,941"
Sublim apartment Champs Elysée (ponthieu),"8th arr., Paris",,,,,Two-Bedroom Apartment,"3 beds (2 fulls, 1 sofa bed)","   1,181,797"
Studio Avenue des Champs-Elysées,"8th arr., Paris",1,Review score,1 review,,Studio,2 full beds,"   414,253"
MyKeypers - Deluxe Cosy Flat 4P - République,"10th arr., Paris",,,,,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   676,381"
HSH Luxueux Appartement Belles Feuilles Trocadero,"16th arr., Paris",,,,,Two-Bedroom Apartment,2 full beds,"   3,289,653"
[New] Eiffel tower view studio / Paris Étoile,"16th arr., Paris",,,,,One-Bedroom Apartment,1 full bed,"   646,965"
New Apartment near Champs Elysées,"17th arr., Paris",,,,,One-Bedroom Apartment,1 queen bed,"   609,195"
Lovely & cosy apartment Paris 15th,"15th arr., Paris",5,Review score,1 review,,Two-Bedroom Apartment,"3 beds (1 sofa bed, 2 queens)","   875,060"
Superbe Appartement Paris 17,"17th arr., Paris",8,Very Good,1 review,10,Two-Bedroom Apartment,"3 beds (1 full, 1 sofa bed, 1 queen)","   869,930"
EIFFEL TOWER,"7th arr., Paris",,,,,Three-Bedroom Apartment,"4 beds (3 kings, 1 sofa bed)","   2,095,631"
Appartement - Arc de Triomphe,"17th arr., Paris",2.5,Review score,2,,One-Bedroom Apartment,"2 beds (1 full, 1 sofa bed)","   680,558"
Luxury Paris Trocadero I by Airsuite,"16th arr., Paris",,,,,Apartment,"2 beds (1 sofa bed, 1 queen)","   1,051,645"
CHAMPS-ELySÉES,"16th arr., Paris",5,Review score,2,,Two-Bedroom Apartment,"3 beds (1 sofa bed, 2 queens)","   1,308,899"
LUXURY ARC DE TRiOMPHE,"8th arr., Paris",,,,,Two-Bedroom Apartment,"4 beds (2 twins, 1 king, 1 sofa bed)","   1,315,861"
SUITE CHAMPS-ELySÉES,"8th arr., Paris",,,,,Deluxe Suite with Spa Bath,1 king bed,"   1,294,975"
Appartement near to Montparnasse,"14th arr., Paris",,,,,One-Bedroom Apartment,1 king bed,"   377,701"
Agréable Appartement parking - quai de la seine,"19th arr., Paris",8,Very Good,3,,Two-Bedroom Apartment,2 full beds,"   853,163"
Jean-Marie,"12th arr., Paris",,,,,One-Bedroom Villa,"6 beds (1 twin, 1 full, 1 king, 2 sofa beds, 1 queen)","   1,346,321"
ARC DE TRiUMPH 4 BEDROOMS,"8th arr., Paris",,,,,Three-Bedroom Apartment,"4 beds (3 kings, 1 sofa bed)","   2,924,136"
GuestReady - Charming classic-style apartment,"18th arr., Paris",,,,,One-Bedroom Apartment,1 full bed,"   24,365,364"
Modern & Design Loft-Style Apartment in Paris 16th,"16th arr., Paris",,,,,One-Bedroom Apartment,1 full bed,"   1,864,137"
Paris apartment,"16th arr., Paris",,,,,Standard Apartment,"2 beds (1 full, 1 sofa bed)","   925,976"
43 Mezzanine 5Pers Madeleine Gallerie La Fayette,"8th arr., Paris",9.8,Exceptional,5,10,One-Bedroom Apartment,"3 beds (1 full, 2 sofa beds)","   836,616"
AMAZING FLAT IN GREAT LOCALISATION in 6 AREAPARIS,"7th arr., Paris",Exceptional 10,,,,One-Bedroom Apartment,1 king bed,"   2,029,838"
CMG Cosy Studio 2P - Parc Buttes Chaumont,"19th arr., Paris",5,Review score,1 review,,Studio,1 full bed,"   469,988"
Appartement calme.,"18th arr., Paris",,,,,Two-Bedroom Apartment,3 full beds,"   609,195"
Palmers face Hyatt Regency,"17th arr., Paris",10,Exceptional,2,10,Apartment,"5 beds (3 sofa beds, 2 queens)","   1,812,616"
Countryside in Montmartre,"18th arr., Paris",,,,,One-Bedroom Villa,1 queen bed,"   1,340,229"
Studio type loft,"19th arr., Paris",,,,,Studio Apartment,"2 beds (1 full, 1 sofa bed)","   285,834"
L'appartement Matignon,"8th arr., Paris",,,,,Three-Bedroom Apartment,"3 beds (1 full, 2 queens)","   3,655,170"
Appartement terrasse Paris,"16th arr., Paris",5.5,Review score,2,,Deluxe Apartment,"4 beds (1 full, 3 queens)","   1,462,068"
